barcode,config_id,sku_id
8904344219932,RWRWMOFLPACONA,RPL5545574467
8904344219451,RWRWMOFLSHOLFO,RPL5977104759
8904344215873,RWRWPADESATE,RPL8375580982
SIPL1713-WHITE-L,SIPL1713_WHITE,SIP9600128301
8904432420059,PRSASHSH,PGP6121881924
SIPL1846-BLACK-M,SIPL1846_BLACK,SIP8155501995
PBWSOR0000037,HOODIE/SCHOOL__Red,TLC6072337134
PBWSOR0000217,HOODIE/SCHOOL__Red,TLC2810106631
JAC-SCROGMONYPROB_S,JAC-SCROGMONYPROB,V1455828799
LF-SL-FLR01/LALAG-2XL/3XL,BW_LAL_SEAMLESSFLAREPA_GREEN_01,NGV1717610115
LF-SL-FLR01/NAVYB-S/M,BW_LAL_SEAMLESSFLAREPA_NAVYBLUE_01,NGV3973416875
8908019192520,sesealaldumajaanroou2x_de,2RP7566518951
8906182120654,nesh_10,NPP7050175558
8906182120661,nesh_5,NPP4711394780
SIPL20080-WINE-XL,SIPL20080_WINE,SIP2414992358
AW24LG17OL-L,BW_FEI_AW24LG17OL_OLIVE_01,MF(9799133067
SIPL1901-RED-XXL,SIPL1901_RED,SIP9193920810
SIPL1659-PINK-M,SIPL1659_PINK,SIP5839539919
8909196439460,BW_RAR_AVIPAL_BLACK_01,RTP5877004079
NSPJOST-2042-XL,BW_MAS_SOLIDOLIVESATIN_OLIVE_01,BBB4135045376
726684035731,splatter,GMP8781869699
726684035748,splatter,GMP8303633329
SB2-CSY1-XL/XXL,THSPICASEYOOVHOBL,CDP9081232760
VJNS-STARLITDNM_34,VJNS-STARLITDNM,V5557061804
SIPL1928-GREEN-M,SIPL1928_GREEN,SIP9021166390
J-STORMFADE_XL,J-STORMFADE,V4181863307
J-STORMFADE_XXXL,J-STORMFADE,V5273581353
8908024977051,SYCHPWB_Choc10,EMP1167125347
SS24TA07OC-M,BW_FEI_SS24TA07OC_BLUE_01,MF(4655044288
PM000023,BW_NOB_TankTopWatermelon_Yellow1_01,PML5177910434
PM000035,BW_PAS_TANKSTRAWBERRY_GREEN_01,PML2118851265
PM000203,BW_NOB_TankTopMango_White9_01,PML5940984873
C224VTC104-XS,C224VTC104 _Teal,RCP8166020237
JAC-TEDDYWIFI_XXL,JAC-TEDDYWIFI,V7259434043
74860783,BW_NON_THEENCHANTEDOWL_BLACK_01,NN7029529344
C224DROP301-L,C224DROP301 _Black,RCP9575371200
VJAC-THEFALLOFICARUS_XL,VJAC-THEFALLOFICARUS,V5084679596
VJAC-THEFALLOFICARUS_XXL,VJAC-THEFALLOFICARUS,V9905395153
8901229009992,UBJ_FLNG_BLU,SI(7812640622
JAC-THELASTRIDE_XXL,JAC-THELASTRIDE,V8542754980
8907535778255,BW_OUT_TAPASLIQUID_OLIVE_01,BAP5583204042
8904344215811,RWTHRWDEOVOL,RPL5733187693
74151434,BW_NON_THETWILIGHTOWLH_BLACK_01,NN4786457899
PBWSOR0000249,HOODIE/DESIGNER__Red,TLC5009169241
PBWSOR0000250,HOODIE/DESIGNER__Red,TLC2097366753
8905202268895,BW_CRA_THREEPOCKET_BLACK_01,HOB2668008722
240019337,HATITACUCOSH,HLP6384887033
JAC-TOKYOTIGR_XL,JAC-TOKYOTIGR,V2888887539
8809784600299,TORIDIT_50,LRP1788791730
SIPL1965-WHITE-S,SIPL1965_WHITE,SIP4417495930
SIPL1983-BLUE-L,SIPL1983_BLUE,SIP6433575820
8904469110237,THTWSUCH,TAP5910223564
8904469119971,THTWW,TAP1183405612
8901229018703,UBJ_VEN_BLU,SI(7447543780
8901229026791,UBJ_WFR_BLK,SI(6380527937
PBWSOR0000159,TSHIRT/SCARIER__Black,TLC6949052205
PM000100,BW_PAS_HALTERNECKWITHA_WHITE_01,PML8054339293
JAC-WINGSOVALOR_XL,JAC-WINGSOVALOR,V9180440707
8904432412016,PRFUSHWH,PGP6353631316
754523810461,x-lows-armstrong,GMP8746013284
726684031535,x-lows-bluejay,GMP6260973117
726684033720,x-lows-bubblegum,GMP1005130726
726684034963,x-lows-chestnut,GMP4715962852
726684034482,x-lows-corduroy,GMP6767913475
726684039296,x-lows-dawn,GMP1281447766
754523813226,x-lows-dawn-2,GMP9732987165
726684034352,x-lows-hazelnut,GMP3872105420
726684030941,x-lows-lagoon,GMP6297035466
726684037650,x-lows-light_1,GMP5748493250
726684037964,x-lows-mad-scientist,GMP3790089325
726684034413,x-lows-neptune,GMP4195523651
726684030675,x-lows-pinecone,GMP3739758918
726684037582,x-lows-pinecone_1,GMP3244773387
726684038619,x-lows-starburst_1,GMP3543076175
726684030774,x-lows-tiramisu,GMP7238552921
726684035182,x-lows-twister,GMP3505787987
PM000001,BW_PAS_PLEATED_YELLOW_01,PML6039884830
1794483467471,BW_DAS_POPLINMIDI_YELLOW_01,DAD4970716375
5980307287471,BW_DAS_POPLINMIDI_YELLOW_01,DAD2619665468
