config_id,barcode,sku_id
BW_STI_ARIAHPANT_BLUE_01,SS-3195,JMP2283131084
BW_STI_ARIAH_BLUE_01,SS-3188,JMP1960910399
BW_STI_ARIAH_BLUE_01,SS-3189,JMP1282842683
AYATISBAM,8809115027917,LRP2384841531
VJNS-ASHDRIFT,VJNS-ASHDRIFT_29,V8836258971
VJNS-ASHDRIFT,VJNS-ASHDRIFT_30,V3493239258
ASHES ANTHEM_Dark Charcoal,SS0014AF/L,PA6638201505
ASHES ANTHEM_Dark Charcoal,SS0014AF/S,PA2634511222
ASHES ANTHEM_Dark Charcoal,SS0014AF/XL,PA1041566955
BW_STI_ASPEN_BLUE_01,SS-1804,JMP3395002467
VJAC-ASTARISBORN,VJAC-ASTARISBORN_3XL,V1698061341
VJAC-ASTARISBORN,VJAC-ASTARISBORN_M,V4203014838
VJAC-ASTARISBORN,VJAC-ASTARISBORN_XXL,V7648561953
HAATMOPRCUCOSH,240019396,HLP2553671950
JAC-TRIBU2KOBE,JAC-TRIBU2KOBE_L,V4737658083
JAC-TRIBU2KOBE,JAC-TRIBU2KOBE_S,V3200116530
JAC-TRIBU2KOBE,JAC-TRIBU2KOBE_XL,V1041791355
SIPL1739_RED,SIPL1739-RED-XS,SIP2230992601
SIPL1738_RED,SIPL1738-RED-L,SIP4784375691
SIPL1738_RED,SIPL1738-RED-M,SIP4319193254
SIPL1738_RED,SIPL1738-RED-S,SIP6965921822
SIPL1738_RED,SIPL1738-RED-XL,SIP9391614168
SIPL1867_BLUE,SIPL1867-BLUE-L,SIP8009570526
SIPL1867_BLUE,SIPL1867-BLUE-M,SIP5419372312
SIPL1867_BLUE,SIPL1867-BLUE-S,SIP3040963033
SIPL1867_BLUE,SIPL1867-BLUE-XL,SIP3162801816
19AUREN,8939117866150,DLP7735120303
THAU,8904469110312,TAP1113673691
THAU,8904469110329,TAP5249260011
THAU,8904469110336,TAP6853884294
THAU,8904469110350,TAP3141282854
THAU,8904469110381,TAP6621148340
SIPL1818_PINK,SIPL1818-PINK-L,SIP6831293885
SIPL1818_PINK,SIPL1818-PINK-S,SIP8358358841
SIPL19071_WHITE,SIPL19071-WHITE-S,SIP4013289497
SIPL20000_GREEN,SIPL20000-GREEN-S,SIP4300903235
SIPL19033_BLUE,SIPL19033-BLUE-S,SIP5088486557
SIPL19033_BLUE,SIPL19033-BLUE-XS,SIP6844880049
SIPL19032_BLUE,SIPL19032-BLUE-L,SIP8945512781
SIPL19032_BLUE,SIPL19032-BLUE-M,SIP1886516114
SIPL19032_BLUE,SIPL19032-BLUE-XL,SIP7949808388
BW_RAR_AVISO_BEIGE_01,8909196504014,RTP3572946499
BW_RAR_AVISO_BEIGE_01,8909196504038,RTP3745408586
BW_RAR_AVISO_BEIGE_01,8909196504045,RTP2213755612
BW_RAR_AVISO_BEIGE_01,8909196504052,RTP7352352647
AYDSCGLSM,8809634610034,LRP1804600569
BW_HOU_BAGGYFITSHIRT_BROWN_01,PBWHOM00000019,HOM4880856882
BW_HOU_BAGGYFITSHIRT_BROWN_01,PBWHOM00000020,HOM3701015975
BW_HOU_BAGGYFITSHIRT_BROWN_01,PBWHOM00000021,HOM5169644027
FRBAVA,8908020091492,FFP7736619356
BW_CRA_BALLETQUEEN_WHITE_01,8905202265009,HOB6603820740
HABABEPEEMSH,240012854,HLP5911798707
VJAC-BANDANAPATCH,VJAC-BANDANAPATCH_3XL,V2233127737
